================================================================================
ENDPOINT MEDIA — GOOGLE SEARCH CONSOLE EXPORT REPORT
================================================================================
Source spreadsheet: https://docs.google.com/spreadsheets/d/1lAlUZOwoeY03R8QknfqD_3PAapZDFQV_96IMQEh3DL4/edit?usp=sharing
Generated: 2026-06-26 17:11:12
Total tabs exported: 7
Tab names: Chart, Queries, Pages, Countries, Devices, Search appearance, Filters

================================================================================
TAB: FILTERS (Report Parameters)
================================================================================
  Filter: Value
  Search type: Web
  Date: Jan 1, 2026-Jun 24, 2026

================================================================================
TAB: CHART
================================================================================
Rows: 176 | Columns: 5

Date       | Clicks | Impressions | CTR   | Position
----------------------------------------------------
2026-01-01 | 0      | 11          | 0.00% | 53.30   
2026-01-02 | 0      | 5           | 0.00% | 46.80   
2026-01-03 | 0      | 12          | 0.00% | 24.10   
2026-01-04 | 0      | 11          | 0.00% | 71.20   
2026-01-05 | 0      | 30          | 0.00% | 15.70   
2026-01-06 | 0      | 16          | 0.00% | 37.20   
2026-01-07 | 0      | 13          | 0.00% | 65.80   
2026-01-08 | 0      | 8           | 0.00% | 62.60   
2026-01-09 | 0      | 3           | 0.00% | 14      
2026-01-10 | 0      | 24          | 0.00% | 49.20   
2026-01-11 | 0      | 41          | 0.00% | 46.20   
2026-01-12 | 0      | 18          | 0.00% | 39.10   
2026-01-13 | 0      | 35          | 0.00% | 36.80   
2026-01-14 | 1      | 29          | 3.45% | 42.60   
2026-01-15 | 0      | 63          | 0.00% | 29      
2026-01-16 | 0      | 62          | 0.00% | 41.90   
2026-01-17 | 0      | 31          | 0.00% | 56      
2026-01-18 | 0      | 69          | 0.00% | 46.20   
2026-01-19 | 0      | 75          | 0.00% | 50.90   
2026-01-20 | 0      | 59          | 0.00% | 45.50   
2026-01-21 | 0      | 32          | 0.00% | 36.80   
2026-01-22 | 0      | 56          | 0.00% | 50.10   
2026-01-23 | 0      | 42          | 0.00% | 38.10   
2026-01-24 | 0      | 42          | 0.00% | 52.30   
2026-01-25 | 0      | 44          | 0.00% | 47.40   
2026-01-26 | 1      | 86          | 1.16% | 33.70   
2026-01-27 | 0      | 66          | 0.00% | 35.30   
2026-01-28 | 0      | 72          | 0.00% | 27.40   
2026-01-29 | 0      | 82          | 0.00% | 42.60   
2026-01-30 | 0      | 79          | 0.00% | 40.20   
2026-01-31 | 0      | 52          | 0.00% | 35.80   
2026-02-01 | 0      | 41          | 0.00% | 49      
2026-02-02 | 0      | 54          | 0.00% | 34      
2026-02-03 | 0      | 101         | 0.00% | 43.30   
2026-02-04 | 0      | 80          | 0.00% | 44.20   
2026-02-05 | 0      | 53          | 0.00% | 35.20   
2026-02-06 | 0      | 54          | 0.00% | 22.40   
2026-02-07 | 0      | 34          | 0.00% | 23.20   
2026-02-08 | 0      | 47          | 0.00% | 30.40   
2026-02-09 | 0      | 51          | 0.00% | 42      
2026-02-10 | 3      | 80          | 3.75% | 31.20   
2026-02-11 | 1      | 60          | 1.67% | 25.40   
2026-02-12 | 0      | 55          | 0.00% | 35.70   
2026-02-13 | 1      | 38          | 2.63% | 35.20   
2026-02-14 | 0      | 38          | 0.00% | 43.30   
2026-02-15 | 0      | 61          | 0.00% | 36.10   
2026-02-16 | 2      | 72          | 2.78% | 31.80   
2026-02-17 | 0      | 67          | 0.00% | 32.60   
2026-02-18 | 0      | 56          | 0.00% | 37.90   
2026-02-19 | 0      | 56          | 0.00% | 40.40   
2026-02-20 | 0      | 47          | 0.00% | 33.60   
2026-02-21 | 0      | 76          | 0.00% | 27.90   
2026-02-22 | 0      | 81          | 0.00% | 38      
2026-02-23 | 0      | 64          | 0.00% | 36.20   
2026-02-24 | 0      | 64          | 0.00% | 36.20   
2026-02-25 | 1      | 57          | 1.75% | 36.20   
2026-02-26 | 0      | 53          | 0.00% | 39.70   
2026-02-27 | 0      | 60          | 0.00% | 29.60   
2026-02-28 | 0      | 33          | 0.00% | 33.40   
2026-03-01 | 0      | 50          | 0.00% | 27.60   
2026-03-02 | 0      | 41          | 0.00% | 18.70   
2026-03-03 | 0      | 62          | 0.00% | 35      
2026-03-04 | 0      | 115         | 0.00% | 45.40   
2026-03-05 | 0      | 186         | 0.00% | 39.20   
2026-03-06 | 1      | 120         | 0.83% | 46.20   
2026-03-07 | 1      | 121         | 0.83% | 52.60   
2026-03-08 | 0      | 120         | 0.00% | 59.10   
2026-03-09 | 0      | 118         | 0.00% | 54      
2026-03-10 | 0      | 140         | 0.00% | 61.90   
2026-03-11 | 0      | 112         | 0.00% | 52.20   
2026-03-12 | 1      | 125         | 0.80% | 55.50   
2026-03-13 | 1      | 123         | 0.81% | 48.70   
