"Type","Campaign","Campaign Daily Budget","Networks","Languages","Bid Strategy Type","Location","Ad Group","Keyword","Criterion Type","Max CPC","Headline 1","Headline 2","Headline 3","Description 1","Description 2"
"Campaign","Endpoint Media | Johannesburg | Search","50","Google search","English","Manual CPC","Johannesburg, Gauteng, South Africa","","","","","","","","",""
"Ad Group","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","","","","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[next js web design johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[next js web design services johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[next js web design company johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[best next js web design johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[next js web design agency johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","[professional next js web design johannesburg]","Exact","15.00","","","","",""
"Responsive search ad","Endpoint Media | Johannesburg | Search","","","","","","Next js Web Design - Johannesburg","","","","Next.js 16 Web Architecture","High-Ticket Google Ads","Market Dominance Engineering","We don't sell cheap websites. We engineer market domination with edge-cached assets.","Bespoke Next.js platforms built for high-ticket service operators in Johannesburg."
"Ad Group","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","","","","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[b2b google ads management johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[b2b google ads management services johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[b2b google ads management company johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[best b2b google ads management johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[b2b google ads management agency johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","[professional b2b google ads management johannesburg]","Exact","15.00","","","","",""
"Responsive search ad","Endpoint Media | Johannesburg | Search","","","","","","B2B Google Ads Management - Johannesburg","","","","Next.js 16 Web Architecture","High-Ticket Google Ads","Market Dominance Engineering","We don't sell cheap websites. We engineer market domination with edge-cached assets.","Bespoke Next.js platforms built for high-ticket service operators in Johannesburg."
"Ad Group","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","","","","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[technical seo agency johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[technical seo agency services johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[technical seo agency company johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[best technical seo agency johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[technical seo agency agency johannesburg]","Exact","15.00","","","","",""
"Keyword","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","[professional technical seo agency johannesburg]","Exact","15.00","","","","",""
"Responsive search ad","Endpoint Media | Johannesburg | Search","","","","","","Technical SEO Agency - Johannesburg","","","","Next.js 16 Web Architecture","High-Ticket Google Ads","Market Dominance Engineering","We don't sell cheap websites. We engineer market domination with edge-cached assets.","Bespoke Next.js platforms built for high-ticket service operators in Johannesburg."
